UACE10,GEOID10,NAME10,NAMELSAD10,LSAD10,MTFCC10,UATYP10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,TC_ID,TC_Change_Acres,TCAcres2013,TCAcres2018,Can_P_2013,Can_P_2018
80902,80902,"Shady Side--Deale, MD","Shady Side--Deale, MD Urban Cluster",76,G3500,C,S,25818113,4624099,38.8202255,-76.5291612,31,0.236232745,3794.134854,3794.371086,59.12850613,59.07074591
92242,92242,"Washington, DC--VA--MD","Washington, DC--VA--MD Urbanized Area",75,G3500,U,S,-2147483648,70051124,38.8972215,-77.1897586,32,-3.726843363,560.5642413,556.8373979,61.35643821,60.89492344
199,199,"Aberdeen--Bel Air South--Bel Air North, MD","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",75,G3500,U,S,339626464,9825290,39.5089769,-76.3034304,33,-4.093300644,1581.101065,1577.007765,47.38617597,47.22767228
4843,4843,"Baltimore, MD","Baltimore, MD Urbanized Area",75,G3500,U,S,1857113332,65619042,39.2340994,-76.6477596,34,-762.8182663,77496.02562,76733.20736,35.53233571,35.17450531
62353,62353,"New Freedom--Shrewsbury, PA--MD","New Freedom--Shrewsbury, PA--MD Urban Cluster",76,G3500,C,S,24526254,22309,39.7622609,-76.6969537,35,-0.106255314,4.621117739,4.514862425,32.84161354,31.92389006
16102,16102,"Chesapeake Beach, MD","Chesapeake Beach, MD Urban Cluster",76,G3500,C,S,65848963,413630,38.7307104,-76.6466392,36,-129.2240063,9712.061387,9582.837381,62.33816127,61.47960867
49594,49594,"Lexington Park--California--Chesapeake Ranch Estates, MD","Lexington Park--California--Chesapeake Ranch Estates, MD Urbanized Area",75,G3500,U,S,129332370,11078997,38.3086542,-76.4664748,37,-93.02380927,5681.519085,5588.495276,65.36804297,64.2623466
51142,51142,"Long Beach, MD","Long Beach, MD Urban Cluster",76,G3500,C,S,15491984,55859,38.464565,-76.4918824,38,-13.5092512,2688.816421,2675.307169,70.03501412,69.63390851
72253,72253,"Prince Frederick, MD","Prince Frederick, MD Urban Cluster",76,G3500,C,S,24289585,18371,38.5509944,-76.5777472,39,-43.96721342,4319.47447,4275.507257,71.96309014,71.18008227
23473,23473,"Denton, MD","Denton, MD Urban Cluster",76,G3500,C,S,11783102,123582,38.8704383,-75.8227788,40,-22.3664965,1209.140006,1186.77351,41.11729921,40.33608265
29521,29521,"Federalsburg, MD","Federalsburg, MD Urban Cluster",76,G3500,C,S,5093172,52160,38.6961397,-75.7712115,41,1.26641508,537.9301297,539.1965447,43.39939023,43.45052421
4843,4843,"Baltimore, MD","Baltimore, MD Urbanized Area",75,G3500,U,S,1857113332,65619042,39.2340994,-76.6477596,42,18.23538873,1104.134551,1122.36994,28.62769929,29.07922334
53726,53726,"Manchester, MD","Manchester, MD Urban Cluster",76,G3500,C,S,7606382,12416,39.6616705,-76.8878504,43,8.817461327,550.401044,559.2185054,29.2690074,29.70317653
86626,86626,"Taneytown, MD","Taneytown, MD Urban Cluster",76,G3500,C,S,5125815,5279,39.6559046,-77.1658492,44,-5.219606973,172.5178576,167.2982506,13.62084893,13.19461903
94294,94294,"Westminster--Eldersburg, MD","Westminster--Eldersburg, MD Urbanized Area",75,G3500,U,S,149446807,955675,39.4884377,-76.9598408,45,160.993851,13557.6505,13718.64435,36.66828139,37.08873043
92242,92242,"Washington, DC--VA--MD","Washington, DC--VA--MD Urbanized Area",75,G3500,U,S,-2147483648,70051124,38.8972215,-77.1897586,46,29.41147092,818.0875856,847.4990566,27.10833326,28.06431647
199,199,"Aberdeen--Bel Air South--Bel Air North, MD","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",75,G3500,U,S,339626464,9825290,39.5089769,-76.3034304,47,15.51698243,2702.423278,2717.940261,42.92673696,43.13523007
69076,69076,"Philadelphia, PA--NJ--DE--MD","Philadelphia, PA--NJ--DE--MD Urbanized Area",75,G3500,U,S,-2147483648,127875865,39.9733309,-75.2981634,48,17.25783984,12899.21844,12916.47628,46.22477764,46.25560241
21928,21928,"Dahlgren, VA--MD","Dahlgren, VA--MD Urban Cluster",76,G3500,C,S,16720815,413553,38.3424178,-77.0264562,49,0.086239778,102.6952668,102.7815066,26.58583737,26.55207678
91261,91261,"Waldorf, MD","Waldorf, MD Urbanized Area",75,G3500,U,S,176050965,656188,38.6093053,-76.9878705,50,-398.0754027,21087.14125,20689.06585,52.66625083,51.65298897
12808,12808,"Cambridge, MD","Cambridge, MD Urban Cluster",76,G3500,C,S,22435799,345102,38.5624765,-76.0773142,51,1.78113559,1820.518257,1822.299392,32.5962598,32.60724365
29521,29521,"Federalsburg, MD","Federalsburg, MD Urban Cluster",76,G3500,C,S,5093172,52160,38.6961397,-75.7712115,52,-0.141344278,27.46650447,27.32516019,90.34478835,89.61691506
11053,11053,"Brunswick, MD--VA","Brunswick, MD--VA Urban Cluster",76,G3500,C,S,17346089,219361,39.3111759,-77.628603,53,-14.33433607,1226.131467,1211.79713,39.20503653,38.71808383
27496,27496,"Emmitsburg, MD--PA","Emmitsburg, MD--PA Urban Cluster",76,G3500,C,S,13383580,20221,39.7230908,-77.3606602,54,1.12087001,527.9735125,529.0943825,33.62892628,33.64893681
31519,31519,"Frederick, MD","Frederick, MD Urbanized Area",75,G3500,U,S,190090706,1299911,39.4158165,-77.4081626,55,-94.63370084,14840.90779,14746.27409,31.39425706,31.18026214
87544,87544,"Thurmont, MD","Thurmont, MD Urban Cluster",76,G3500,C,S,9857070,19550,39.619928,-77.4067866,56,2.820707929,872.9976138,875.8183217,35.80935685,35.88597887
93322,93322,"Waynesboro, PA--MD","Waynesboro, PA--MD Urban Cluster",76,G3500,C,S,45460139,86342,39.7302752,-77.5076267,57,0.08401583,17.39621886,17.48023468,71.00496228,71.12907605
92242,92242,"Washington, DC--VA--MD","Washington, DC--VA--MD Urbanized Area",75,G3500,U,S,-2147483648,70051124,38.8972215,-77.1897586,58,-47.44472745,5039.233388,4991.78866,46.5153921,46.05814666
59761,59761,"Mountain Lake Park, MD","Mountain Lake Park, MD Urban Cluster",76,G3500,C,S,10866110,41325,39.4076976,-79.3919651,59,3.37175293,1131.942802,1135.314555,42.04154347,42.12230468
94005,94005,"Westernport, MD--WV","Westernport, MD--WV Urban Cluster",76,G3500,C,S,8239186,97730,39.477875,-79.0395542,60,0.019027114,49.80137148,49.82039859,61.67968882,61.41661285
199,199,"Aberdeen--Bel Air South--Bel Air North, MD","Aberdeen--Bel Air South--Bel Air North, MD Urbanized Area",75,G3500,U,S,339626464,9825290,39.5089769,-76.3034304,61,-192.6359422,31667.12644,31474.49049,43.56485843,43.28656141
4843,4843,"Baltimore, MD","Baltimore, MD Urbanized Area",75,G3500,U,S,1857113332,65619042,39.2340994,-76.6477596,62,-632.1701916,40972.63498,40340.46479,52.45104753,51.63526757
33635,33635,"Glenwood, MD","Glenwood, MD Urban Cluster",76,G3500,C,S,14419476,58611,39.2707487,-77.0045491,63,5.270016471,1517.282394,1522.55241,42.4412887,42.55795248
94294,94294,"Westminster--Eldersburg, MD","Westminster--Eldersburg, MD Urbanized Area",75,G3500,U,S,149446807,955675,39.4884377,-76.9598408,64,0.061282135,22.64449005,22.70577219,79.59126953,79.5186666
16210,16210,"Chestertown, MD","Chestertown, MD Urban Cluster",76,G3500,C,S,10214248,724885,39.2144991,-76.0637753,65,7.475926211,426.2580186,433.7339448,25.93086266,26.36200095
