CPFA,MUN_CODE,MUN_NAME,RUVI_CODE,RUVI_NAME,COMMENT_,ACRES,JURSCODE,STATE_ELIGIBLE,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Change_Acres,LowVeg_Change_Acres,Barren_Change_Acres,Water_Change_Acres,Buildings_Change_Acres,Road_Change_Acres,Shrub_Change_Acres,Wetlands_Change_Acres,Impervious_Change_Acres,Forest_Change,Forest_Change_Acres,NonForest_Change_Acres
IN,MUN,BERWYN HEIGHTS, , ,NO,438.7706985,PRIN,YES,23,-3.426541293,2.686317373,0,0,-0.02657936,-0.049104242,0,0,0.815907522,-15.03609215,11.78789692,0,0,-0.11663356,-0.21547556,0,0,3.580304345,-3330.944132,-0.82309295,-14.2129992
IN,,, , ,NO,91.45694704,PRIN,YES,24,-1.074222972,0.595739852,0,0,0,-0.000540354,-0.008915835,0,0.487939307,-0.98248948,0.544866525,0,0,0,-0.00049421,-0.008154465,0,0.44627163,-139.4139533,-0.034449885,-0.948039595
IN,,, , ,NO,407.2720544,PRIN,YES,25,-3.639155456,2.940930231,0,0,0,-0.03761401,-0.008311483,0,0.744150718,-14.82259343,11.97866198,0,0,0,-0.1532051,-0.033853385,0,3.03098993,0,0,-14.82259343
IN,MUN,NEW CARROLLTON, , ,NO,707.2211064,PRIN,YES,26,-4.706348452,3.903114414,0,0,-0.000908359,-0.139433128,-0.000698738,0,0.944274263,-33.28751455,27.6063235,0,0,-0.00642473,-0.986196055,-0.0049421,0,6.67875394,-325.2992244,-0.080383065,-33.20713149
IN,MUN,UNIVERSITY PARK, , ,NO,322.8825159,PRIN,YES,27,-4.040836129,3.209023067,0,0,0,-0.120371844,0,0,0.952184906,-13.04837953,10.36234818,0,0,0,-0.388696165,0,0,3.074727515,-1014.873617,-0.250780345,-12.79759918
IN,MUN,RIVERDALE PARK, , ,NO,956.2660576,PRIN,YES,28,-6.01593784,2.083541113,0.450147612,0,1.392842803,0.407825158,-0.035992172,0,1.717573327,-57.53444557,19.9263001,4.30506331,0,13.32068924,3.90030532,-0.344217265,0,16.42630488,-69668.00072,-17.21531132,-40.31913425
IN,,, , ,NO,101.4801816,PRIN,YES,29,-1.509201434,0.746531429,0,0,0,-0.049638349,0,0,0.812308354,-1.52513206,0.754411565,0,0,0,-0.050162315,0,0,0.82088281,0,0,0
IN,,, , ,NO,363.7704991,PRIN,YES,30,-4.074436987,3.1822091,0,0,0,-0.036770439,-6.81E-05,0,0.929066419,-14.78577478,11.54795797,0,0,0,-0.1334367,-0.000247105,0,3.37150062,-2729.815151,-0.674550973,-14.11122381
IN,,, , ,NO,4.73399986,PRIN,YES,31,-8.879382304,8.566360601,0,0,0,0,0,0,0.313021703,-0.42057271,0.40574641,0,0,0,0,0,0,0.0148263,0,0,0
IN,MUN,HYATTSVILLE, , ,NO,170.3539504,PRIN,YES,32,-1.355120464,1.867116101,-1.461870829,0,0,-0.048298739,-0.000870248,0,0.999044178,-2.308702015,3.180982665,-2.490571295,0,0,-0.082285965,-0.00148263,0,1.70205924,-94.44171032,-0.023337019,-2.285364996
IN,,, , ,NO,752.1128637,PRIN,YES,33,-4.056926359,3.001369142,-0.081747692,-0.000328568,0.017676953,-0.036306752,-0.000591422,0,1.156854698,-30.51079567,22.57230044,-0.61479724,-0.00247105,0.13294249,-0.273051025,-0.00444789,0,8.700319945,-1578.52573,-0.3900616,-30.12073406
IN,MUN,RIVERDALE PARK, , ,NO,62.13228437,PRIN,YES,34,-1.788320442,0.903107788,0.516572883,0,-0.414371781,-0.049311037,0,0,0.83232259,-1.111231185,0.561175455,0.320989395,0,-0.25748341,-0.03064102,0,0,0.517190765,1.02E-12,0,-1.111231185
IN,MUN,RIVERDALE PARK, , ,NO,12.04632135,PRIN,YES,35,-1.651349799,1.308771642,0,0,0,0,-0.004102732,0,0.346680889,-0.198919525,0.15765299,0,0,0,0,-0.00049421,0,0.041760745,0,0,0
IN,MUN,NEW CARROLLTON, , ,NO,27.38567637,PRIN,YES,36,-3.135178051,2.574003735,0,0,0,-0.026164076,0,0,0.587338392,-0.858689875,0.704990565,0,0,0,-0.007166045,0,0,0.160865355,0,0,0
