GENZONE,JURSCODE,ZONING,MUNICIPALITY_NAME,ACRES,TC_ID,TC_Percent_Change,LowVeg_Percent_Change,Barren_Percent_Change,Water_Percent_Change,Building_Percent_Change,Road_Percent_Change,Shrub_Percent_Change,Wetlands_Percent_Change,Imperv_Percent_Change,TC_Area_Acres_Change,LowVeg_Area_Acres_Change,Barren_Area_Acres_Change,Water_Area_Acres_Change,Buildings_Area_Acres_Change,Road_Area_Acres_Change,Shrub_Area_Acres_Change,Wetlands_Area_Acres_Change,Impervious_Area_Acres_Change,TC_OutsideForest_A_Acres_2013,TC_InsideForest_A_Acres_2013,TC_OutsideForest_A_Acres_2018,TC_InsideForest_A_Acres_2018,TC_InsideForestChange_acres,TC_OutsideForestChange_acres
COMMERCIAL,CARR,C-2,,1.50019571,3651,0.725354435,-0.230794593,0,0,0,0,0,0,-0.494559842,0.010872638,-0.003459476,0,0,0,0,0,0,-0.007413162,0.250564876,0,0.261437513,0,0,0.010872638
COMMERCIAL,CARR,C-2,,0.21275964,3652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.211769328,0,0.211769328,0,0,0
COMMERCIAL,CARR,C-2,,0.35659686,3653,0.623268698,-0.623268698,0,0,0,0,0,0,0,0.002223949,-0.002223949,0,0,0,0,0,0,0,0.005189213,0,0.007413162,0,0,0.002223949
COMMERCIAL,CARR,C-3,,3.81121272,3654,0.460530583,-0.395667121,0,0,0.233508465,0,0,0,-0.298371927,0.017544483,-0.015073429,0,0,0.008895794,0,0,0,-0.011366848,0.045467394,0,0.063011877,0,0,0.017544483
COMMERCIAL,CARR,C-2,,4.58115714,3655,0.523645001,-0.604621032,0,0,-0.02699201,0,0,0,0.107968041,0.023969224,-0.027675805,0,0,-0.001235527,0,0,0,0.004942108,0.140602973,0,0.164572196,0,0,0.023969224
COMMERCIAL,CARR,C-2,,1.12060763,3656,0.881834215,-0.066137566,0,0,0,0,0,0,-0.815696649,0.009884216,-0.000741316,0,0,0,0,0,0,-0.0091429,0.043243445,0,0.053127661,0,0,0.009884216
COMMERCIAL,CARR,C-2,,0.24945697,3657,2.868447082,-2.077151335,0,0,0,0,0,0,-0.791295747,0.007166057,-0.005189213,0,0,0,0,0,0,-0.001976843,0.013096586,0,0.020262643,0,0,0.007166057
COMMERCIAL,CARR,C-2,,0.31641951,3658,3.039750585,-1.247077163,0,0,0,0,0,0,-1.792673422,0.009637111,-0.003953686,0,0,0,0,0,0,-0.005683424,0.038548442,0,0.048185553,0,0,0.009637111
COMMERCIAL,CARR,C-2,,1.16849455,3659,0.211461197,-0.084584479,0,0,0,0,0,0,-0.126876718,0.002471054,-0.000988422,0,0,0,0,0,0,-0.001482632,0.000494211,0,0.002965265,0,0,0.002471054
COMMERCIAL,CARR,C-2,,0.87160208,3660,1.246105919,-0.538091192,0,0,0,0,0,0,-0.708014727,0.010872638,-0.004695003,0,0,0,0,0,0,-0.006177635,0.303692537,0,0.314565174,0,0,0.010872638
COMMERCIAL,CARR,C-2,,2.11113021,3661,1.84990048,-0.995199625,0,0,0,0,0,0,-0.854700855,0.039042653,-0.021003959,0,0,0,0,0,0,-0.018038694,0.163583775,0,0.202626428,0,0,0.039042653
COMMERCIAL,CARR,C-2,,0.13552675,3662,2.9143898,-2.9143898,0,0,0,0,0,0,0,0.003953686,-0.003953686,0,0,0,0,0,0,0,0.093405841,0,0.097359528,0,0,0.003953686
COMMERCIAL,CARR,C-2,,0.17805672,3663,1.803051318,-2.080443828,0,0,0,0,0,0,0.27739251,0.00321237,-0.003706581,0,0,0,0,0,0,0.000494211,0.034594756,0,0.037807126,0,0,0.00321237
COMMERCIAL,CARR,C-2,,0.06400278,3664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001235527,0,0.001235527,0,0,0
COMMERCIAL,CARR,C-2,,0.15259313,3665,8.090614887,-8.090614887,0,0,0,0,0,0,0,0.01235527,-0.01235527,0,0,0,0,0,0,0,0.01556764,0,0.02792291,0,0,0.01235527
COMMERCIAL,CARR,C-2,,0.06756137,3666,8.088235294,-8.088235294,0,0,0,0,0,0,0,0.005436319,-0.005436319,0,0,0,0,0,0,0,0.00593053,0,0.011366848,0,0,0.005436319
COMMERCIAL,CARR,C-2,,0.05907056,3667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-2,,0.05971734,3668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-2,,0.82945182,3669,0.327478416,-0.893122953,0,0,0,0,0,0,0.565644537,0.002718159,-0.007413162,0,0,0,0,0,0,0.004695003,0.000988422,0,0.003706581,0,0,0.002718159
COMMERCIAL,CARR,C-2,,0.28764846,3670,2.827763496,-1.028277635,0,0,0,0,0,0,-1.799485861,0.008154478,-0.002965265,0,0,0,0,0,0,-0.005189213,0.057081347,0,0.065235826,0,0,0.008154478
COMMERCIAL,CARR,C-2,,0.05922284,3671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-2,,1.0307333,3672,0.599808061,-0.815738964,0,0,0,0,0,0,0.215930902,0.006177635,-0.008401584,0,0,0,0,0,0,0.002223949,0.216711436,0,0.222889071,0,0,0.006177635
COMMERCIAL,CARR,C-2,,0.04596991,3673,6.179775281,-6.179775281,0,0,0,0,0,0,0,0.002718159,-0.002718159,0,0,0,0,0,0,0,0.001482632,0,0.004200792,0,0,0.002718159
COMMERCIAL,CARR,C-2,,0.24015837,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201390901,0,0.201390901,0,0,0
COMMERCIAL,CARR,C-2,,2.5938834,3675,0.085755121,-0.57170081,0,0,0,0,0,0,0.485945688,0.002223949,-0.014826324,0,0,0,0,0,0,0.012602375,0.303445431,0,0.30566938,0,0,0.002223949
COMMERCIAL,CARR,C-3,,3.4110019,3676,0.615629753,-0.60838705,0,0,-0.028970812,0,0,0,0.021728109,0.021003959,-0.020756854,0,0,-0.000988422,0,0,0,0.000741316,1.124576675,0,1.145580634,0,0,0.021003959
COMMERCIAL,CARR,C-3,,3.8687342,3677,0.408632359,-0.274549866,0,0,-0.038309284,-0.006384881,0,0,-0.089388328,0.015814746,-0.010625532,0,0,-0.001482632,-0.000247105,0,0,-0.003459476,0.812976766,0,0.828791512,0,0,0.015814746
COMMERCIAL,CARR,C-2,,0.58600215,3678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.156911929,0,0.156911929,0,0,0
COMMERCIAL,CARR,C-2,,0.46148966,3679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-2,,0.42121366,3680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023969224,0,0.023969224,0,0,0
COMMERCIAL,CARR,C-2,,0.09331905,3681,1.058201058,-0.529100529,0,0,0,0,0,0,-0.529100529,0.000988422,-0.000494211,0,0,0,0,0,0,-0.000494211,0.002223949,0,0.00321237,0,0,0.000988422
COMMERCIAL,CARR,C-2,,0.24855588,3682,0.794438928,-0.794438928,0,0,0,0,0,0,0,0.001976843,-0.001976843,0,0,0,0,0,0,0,0.049915291,0,0.051892134,0,0,0.001976843
COMMERCIAL,CARR,C-2,,0.04400351,3683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-2,,0.44913974,3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-2,,2.41568901,3685,-2.383631714,5.012787724,0,0,0.092071611,-0.010230179,0,0,-2.710997442,-0.057575558,0.121081646,0,0,0.002223949,-0.000247105,0,0,-0.065482931,0.573284528,0,0.51570897,0,0,-0.057575558
COMMERCIAL,CARR,C-2,,0.85595404,3686,0.230880231,-0.086580087,0,0,0,-0.028860029,0,0,-0.115440115,0.001976843,-0.000741316,0,0,0,-0.000247105,0,0,-0.000988422,0.076849779,0,0.078826623,0,0,0.001976843
COMMERCIAL,CARR,C-2,,0.39209393,3687,0.820189274,0,0,0,0,0,0,0,-0.820189274,0.00321237,0,0,0,0,0,0,0,-0.00321237,0.082780309,0,0.085992679,0,0,0.00321237
COMMERCIAL,CARR,C-2,,0.96235146,3688,0.154043646,0,0,0,0.693196406,0,0,0,-0.847240051,0.001482632,0,0,0,0.006671846,0,0,0,-0.008154478,0.082533204,0,0.084015836,0,0,0.001482632
COMMERCIAL,CARR,C-2,,1.01476562,3689,0.121862052,-0.146234463,0,0,0,0,0,0,0.02437241,0.001235527,-0.001482632,0,0,0,0,0,0,0.000247105,0.093652947,0,0.094888474,0,0,0.001235527
COMMERCIAL,CARR,C-2,,0.4754874,3690,0.20746888,0,0,0,0,0,0,0,-0.20746888,0.000988422,0,0,0,0,0,0,0,-0.000988422,0.057822664,0,0.058811085,0,0,0.000988422
COMMERCIAL,CARR,C-3,,4.1701381,3691,1.197533792,-0.136352857,0,0,-0.053355466,-0.041498696,0,0,-0.966326773,0.049915291,-0.005683424,0,0,-0.002223949,-0.001729738,0,0,-0.04027818,0.1418385,0,0.19175379,0,0,0.049915291
COMMERCIAL,CARR,C-3,,2.89488487,3692,1.178379302,-0.845359064,0,0,0,-0.162240628,0,0,-0.170779609,0.034100545,-0.024463435,0,0,0,-0.004695003,0,0,-0.004942108,0.166054829,0,0.200155374,0,0,0.034100545
COMMERCIAL,CARR,C-1,,0.4591336,3693,0.645855759,-1.345532831,0,0,0,0,0,0,0.699677072,0.002965265,-0.006177635,0,0,0,0,0,0,0.00321237,0.192989317,0,0.195954582,0,0,0.002965265
COMMERCIAL,CARR,C-2,,0.8181891,3694,0.120809423,0,0,0,0,0,0,0,-0.120809423,0.000988422,0,0,0,0,0,0,0,-0.000988422,0.000988422,0,0.001976843,0,0,0.000988422
COMMERCIAL,CARR,C-2,,1.34891734,3695,0.787978743,-0.49477735,0,0,0,0,0,0,-0.293201393,0.010625532,-0.006671846,0,0,0,0,0,0,-0.003953686,0.1144098,0,0.125035332,0,0,0.010625532
COMMERCIAL,CARR,C-2,,0.49463701,3696,1.15,-1.8,0,0,-0.3,0,0,0,0.95,0.005683424,-0.008895794,0,0,-0.001482632,0,0,0,0.004695003,0.010625532,0,0.016308956,0,0,0.005683424
COMMERCIAL,CARR,C-1,,0.29902925,3697,0.744416873,-0.744416873,0,0,0,0,0,0,0,0.002223949,-0.002223949,0,0,0,0,0,0,0,0.016803167,0,0.019027116,0,0,0.002223949
COMMERCIAL,CARR,C-2,,0.39415201,3698,-7.295597484,0,0,0,0,0,0,0,7.295597484,-0.028664226,0,0,0,0,0,0,0,0.028664226,0.063011877,0,0.034347651,0,0,-0.028664226
COMMERCIAL,CARR,C-1,,1.56718862,3699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041760813,0,0.041760813,0,0,0
COMMERCIAL,CARR,C-2,,0.72535535,3700,0.23858214,0,0,0,0,0,0,0,-0.23858214,0.001729738,0,0,0,0,0,0,0,-0.001729738,0.018038694,0,0.019768432,0,0,0.001729738
COMMERCIAL,CARR,C-1,,0.09646583,3701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COMMERCIAL,CARR,C-1,,0.33143232,3702,0.672143391,-0.672143391,0,0,0,0,0,0,0,0.002223949,-0.002223949,0,0,0,0,0,0,0,0.151722716,0,0.153946664,0,0,0.002223949
COMMERCIAL,CARR,C-1,,0.14265869,3703,1.554404145,-0.863557858,0,0,0,0,0,0,-0.690846287,0.002223949,-0.001235527,0,0,0,0,0,0,-0.000988422,0.003459476,0,0.005683424,0,0,0.002223949
COMMERCIAL,CARR,C-2,,1.62187354,3704,0.54894785,-0.65568771,0,0,0,0,0,0,0.10673986,0.008895794,-0.010625532,0,0,0,0,0,0,0.001729738,0.315800701,0,0.324696496,0,0,0.008895794
COMMERCIAL,CARR,C-2,,0.38527431,3705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.212757749,0,0.212757749,0,0,0
COMMERCIAL,CARR,C-2,,0.38606815,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.092664525,0,0.092664525,0,0,0
COMMERCIAL,CARR,C-2,,0.24827644,3708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008154478,0,0.008154478,0,0,0
COMMERCIAL,CARR,C-2,,0.26557148,3709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005683424,0,0.005683424,0,0,0
COMMERCIAL,CARR,C-2,,0.44609871,3710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01878001,0,0.01878001,0,0,0
COMMERCIAL,CARR,C-2,,0.24010097,3711,0.205338809,0,0,0,0,0,0,0,-0.205338809,0.000494211,0,0,0,0,0,0,0,-0.000494211,0.004447897,0,0.004942108,0,0,0.000494211
COMMERCIAL,CARR,C-2,,0.21394858,3712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045961604,0,0.045961604,0,0,0
COMMERCIAL,CARR,C-2,,0.2096901,3713,-13.19199058,13.19199058,0,0,0,0,0,0,0,-0.027675805,0.027675805,0,0,0,0,0,0,0,0.106008217,0,0.078332412,0,0,-0.027675805
COMMERCIAL,CARR,C-2,,0.69466271,3714,0.391180654,-1.52916074,0,0,0,0,0,0,1.137980085,0.002718159,-0.010625532,0,0,0,0,0,0,0.007907373,0.032370807,0,0.035088967,0,0,0.002718159
COMMERCIAL,CARR,C-2,,0.32020645,3715,0.85007728,-0.540958269,0,0,0,0,0,0,-0.309119011,0.002718159,-0.001729738,0,0,0,0,0,0,-0.000988422,0.135413759,0,0.138131919,0,0,0.002718159
COMMERCIAL,CARR,C-1,,0.64128418,3716,0.385356455,-0.385356455,0,0,0,0,0,0,0,0.002471054,-0.002471054,0,0,0,0,0,0,0,0.112927168,0,0.115398222,0,0,0.002471054
COMMERCIAL,CARR,C-1,,0.70689452,3717,0.384615385,-0.104895105,0,0,0,0,0,0,-0.27972028,0.002718159,-0.000741316,0,0,0,0,0,0,-0.001976843,0.097112422,0,0.099830582,0,0,0.002718159
COMMERCIAL,CARR,C-1,,1.60299979,3719,0.308261406,-0.123304562,0,0,0,0,0,0,-0.184956843,0.004942108,-0.001976843,0,0,0,0,0,0,-0.002965265,0.274286994,0,0.279229102,0,0,0.004942108
COMMERCIAL,CARR,C-2,,0.30783615,3720,0.964630225,-14.63022508,0,0,15.35369775,0,0,0,-1.688102894,0.002965265,-0.044973183,0,0,0.047197131,0,0,0,-0.005189213,0.092664525,0,0.09562979,0,0,0.002965265
COMMERCIAL,CARR,C-2,,0.95090145,3721,-6.444906445,-7.536382536,0,0,7.016632017,0,0,0,6.964656965,-0.061282139,-0.071660566,0,0,0.066718458,0,0,0,0.066224247,0.084015836,0,0.022733697,0,0,-0.061282139
COMMERCIAL,CARR,C-2,,0.41082533,3722,0.662251656,-0.662251656,0,0,0,0,0,0,0,0.002718159,-0.002718159,0,0,0,0,0,0,0,0.118363487,0,0.121081646,0,0,0.002718159
COMMERCIAL,CARR,C-2,,0.28154923,3723,0.527704485,0,0,0,0,-0.439753738,0,0,-0.087950748,0.001482632,0,0,0,0,-0.001235527,0,0,-0.000247105,0.025946067,0,0.027428699,0,0,0.001482632
COMMERCIAL,CARR,C-2,,0.19534062,3724,-15.07731959,15.07731959,0,0,0,0,0,0,0,-0.028911332,0.028911332,0,0,0,0,0,0,0,0.035830283,0,0.006918951,0,0,-0.028911332
COMMERCIAL,CARR,C-2,,0.11077917,3725,-11.79039301,11.79039301,0,0,0,0,0,0,0,-0.013343692,0.013343692,0,0,0,0,0,0,0,0.016308956,0,0.002965265,0,0,-0.013343692
COMMERCIAL,CARR,C-2,,0.78911842,3726,1.436602124,-1.186758276,0,0,0,0,0,0,-0.249843848,0.011366848,-0.009390005,0,0,0,0,0,0,-0.001976843,0.032123702,0,0.04349055,0,0,0.011366848
COMMERCIAL,CARR,C-2,,0.43086957,3727,0.459770115,-4.310344828,0,0,0,0,0,0,3.850574713,0.001976843,-0.018532905,0,0,0,0,0,0,0.016556062,0.006671846,0,0.008648689,0,0,0.001976843
COMMERCIAL,CARR,C-2,,0.70232923,3728,2.250351617,-2.250351617,0,0,0,0,0,0,0,0.015814746,-0.015814746,0,0,0,0,0,0,0,0.04942108,0,0.065235826,0,0,0.015814746
COMMERCIAL,CARR,C-2,,0.38993961,3729,1.141407736,-0.951173114,0,0,0,-0.063411541,0,0,-0.126823082,0.004447897,-0.003706581,0,0,0,-0.000247105,0,0,-0.000494211,0.071660566,0,0.076108463,0,0,0.004447897
COMMERCIAL,CARR,C-2,,4.04758085,3730,0.89138531,-0.812015386,0,0,0,0,-0.006105379,0,-0.073264546,0.036077388,-0.032865018,0,0,0,0,-0.000247105,0,-0.002965265,0.327908866,0,0.363986254,0,0,0.036077388
COMMERCIAL,CARR,C-2,,0.53729985,3731,0.322432059,0,0,0,0.598802395,0,0,0,-0.921234454,0.001729738,0,0,0,0.00321237,0,0,0,-0.004942108,0.010872638,0,0.012602375,0,0,0.001729738
COMMERCIAL,CARR,C-2,,4.05134678,3732,0.067101812,-0.030500824,0,0,0,0,0,0,-0.036600988,0.002718159,-0.001235527,0,0,0,0,0,0,-0.001482632,0.001729738,0,0.004447897,0,0,0.002718159
COMMERCIAL,CARR,C-2,,0.83026039,3733,0.565307944,-0.178518298,0,0,0,0,0,0,-0.386789646,0.004695003,-0.001482632,0,0,0,0,0,0,-0.00321237,0.099583476,0,0.104278479,0,0,0.004695003
COMMERCIAL,CARR,C-2,,0.48464805,3734,1.580826109,-1.223865375,0,0,0.662927078,0,0,0,-1.019887812,0.007660267,-0.00593053,0,0,0.00321237,0,0,0,-0.004942108,0.020756854,0,0.028417121,0,0,0.007660267
